Reagents,Reactant InChI,Product InChI,
"NaNH2, NH3 | CH3Br","InChI=1S/C6H10/c1-3-5-6-4-2/h1H,4-6H2,2H3","InChI=1S/C7H12/c1-3-5-7-6-4-2/h3,5,7H2,1-2H3","NaNH2, NH3 | CH3Br%InChI=1S/C6H10/c1-3-5-6-4-2/h1H,4-6H2,2H3%InChI=1S/C7H12/c1-3-5-7-6-4-2/h3,5,7H2,1-2H3"
"NaNH2, NH3 | CH3Br","InChI=1S/C7H12/c1-3-5-7-6-4-2/h1H,4-7H2,2H3","InChI=1S/C8H14/c1-3-5-7-8-6-4-2/h3,5,7-8H2,1-2H3","NaNH2, NH3 | CH3Br%InChI=1S/C7H12/c1-3-5-7-6-4-2/h1H,4-7H2,2H3%InChI=1S/C8H14/c1-3-5-7-8-6-4-2/h3,5,7-8H2,1-2H3"
"NaNH2, NH3 | CH3Br","InChI=1S/C8H14/c1-3-5-7-8-6-4-2/h1H,4-8H2,2H3","InChI=1S/C9H16/c1-3-5-7-9-8-6-4-2/h3,5,7-9H2,1-2H3","NaNH2, NH3 | CH3Br%InChI=1S/C8H14/c1-3-5-7-8-6-4-2/h1H,4-8H2,2H3%InChI=1S/C9H16/c1-3-5-7-9-8-6-4-2/h3,5,7-9H2,1-2H3"
"NaNH2, NH3 | CH3Br","InChI=1S/C9H16/c1-3-5-7-9-8-6-4-2/h1H,4-9H2,2H3","InChI=1S/C10H18/c1-3-5-7-9-10-8-6-4-2/h3,5,7-10H2,1-2H3","NaNH2, NH3 | CH3Br%InChI=1S/C9H16/c1-3-5-7-9-8-6-4-2/h1H,4-9H2,2H3%InChI=1S/C10H18/c1-3-5-7-9-10-8-6-4-2/h3,5,7-10H2,1-2H3"
"NaNH2, NH3 | CH3Br","InChI=1S/C10H18/c1-3-5-7-9-10-8-6-4-2/h1H,4-10H2,2H3","InChI=1S/C11H20/c1-3-5-7-9-11-10-8-6-4-2/h3,5,7-11H2,1-2H3","NaNH2, NH3 | CH3Br%InChI=1S/C10H18/c1-3-5-7-9-10-8-6-4-2/h1H,4-10H2,2H3%InChI=1S/C11H20/c1-3-5-7-9-11-10-8-6-4-2/h3,5,7-11H2,1-2H3"
H2 | Lindlar's,"InChI=1S/C4H6/c1-3-4-2/h1H,4H2,2H3","InChI=1S/C4H8/c1-3-4-2/h3-4H,1-2H3/b4-3-","H2 | Lindlar's%InChI=1S/C4H6/c1-3-4-2/h1H,4H2,2H3%InChI=1S/C4H8/c1-3-4-2/h3-4H,1-2H3/b4-3-"
H2 | Lindlar's,"InChI=1S/C5H8/c1-3-5-4-2/h1H,4-5H2,2H3","InChI=1S/C5H10/c1-3-5-4-2/h3,5H,4H2,1-2H3/b5-3-","H2 | Lindlar's%InChI=1S/C5H8/c1-3-5-4-2/h1H,4-5H2,2H3%InChI=1S/C5H10/c1-3-5-4-2/h3,5H,4H2,1-2H3/b5-3-"
H2 | Lindlar's,"InChI=1S/C6H10/c1-3-5-6-4-2/h1H,4-6H2,2H3","InChI=1/C6H12/c1-3-5-6-4-2/h3,5H,4,6H2,1-2H3/b5-3+","H2 | Lindlar's%InChI=1S/C6H10/c1-3-5-6-4-2/h1H,4-6H2,2H3%InChI=1/C6H12/c1-3-5-6-4-2/h3,5H,4,6H2,1-2H3/b5-3+"
H2 | Lindlar's,"InChI=1S/C7H12/c1-3-5-7-6-4-2/h1H,4-7H2,2H3","InChI=1/C7H14/c1-3-5-7-6-4-2/h3,5H,4,6-7H2,1-2H3/b5-3+","H2 | Lindlar's%InChI=1S/C7H12/c1-3-5-7-6-4-2/h1H,4-7H2,2H3%InChI=1/C7H14/c1-3-5-7-6-4-2/h3,5H,4,6-7H2,1-2H3/b5-3+"
H2 | Lindlar's,"InChI=1S/C8H14/c1-3-5-7-8-6-4-2/h1H,4-8H2,2H3","InChI=1S/C8H16/c1-3-5-7-8-6-4-2/h3,5H,4,6-8H2,1-2H3/b5-3-","H2 | Lindlar's%InChI=1S/C8H14/c1-3-5-7-8-6-4-2/h1H,4-8H2,2H3%InChI=1S/C8H16/c1-3-5-7-8-6-4-2/h3,5H,4,6-8H2,1-2H3/b5-3-"
H2 | Lindlar's,"InChI=1S/C9H16/c1-3-5-7-9-8-6-4-2/h1H,4-9H2,2H3","InChI=1S/C9H18/c1-3-5-7-9-8-6-4-2/h3,5H,4,6-9H2,1-2H3/b5-3-","H2 | Lindlar's%InChI=1S/C9H16/c1-3-5-7-9-8-6-4-2/h1H,4-9H2,2H3%InChI=1S/C9H18/c1-3-5-7-9-8-6-4-2/h3,5H,4,6-9H2,1-2H3/b5-3-"
H2 | Lindlar's,"InChI=1S/C10H18/c1-3-5-7-9-10-8-6-4-2/h1H,4-10H2,2H3","InChI=1S/C10H20/c1-3-5-7-9-10-8-6-4-2/h3,5H,4,6-10H2,1-2H3/b5-3-","H2 | Lindlar's%InChI=1S/C10H18/c1-3-5-7-9-10-8-6-4-2/h1H,4-10H2,2H3%InChI=1S/C10H20/c1-3-5-7-9-10-8-6-4-2/h3,5H,4,6-10H2,1-2H3/b5-3-"
Na | Liquid NH3,"InChI=1S/C4H6/c1-3-4-2/h1H,4H2,2H3","InChI=1S/C4H8/c1-3-4-2/h3-4H,1-2H3/b4-3+","Na | Liquid NH3%InChI=1S/C4H6/c1-3-4-2/h1H,4H2,2H3%InChI=1S/C4H8/c1-3-4-2/h3-4H,1-2H3/b4-3+"
Na | Liquid NH3,"InChI=1S/C5H8/c1-3-5-4-2/h1H,4-5H2,2H3","InChI=1S/C5H10/c1-3-5-4-2/h3,5H,4H2,1-2H3/b5-3+","Na | Liquid NH3%InChI=1S/C5H8/c1-3-5-4-2/h1H,4-5H2,2H3%InChI=1S/C5H10/c1-3-5-4-2/h3,5H,4H2,1-2H3/b5-3+"
Na | Liquid NH3,"InChI=1S/C6H10/c1-3-5-6-4-2/h1H,4-6H2,2H3","InChI=1S/C6H12/c1-3-5-6-4-2/h3,5H,4,6H2,1-2H3/b5-3+","Na | Liquid NH3%InChI=1S/C6H10/c1-3-5-6-4-2/h1H,4-6H2,2H3%InChI=1S/C6H12/c1-3-5-6-4-2/h3,5H,4,6H2,1-2H3/b5-3+"
Na | Liquid NH3,"InChI=1S/C7H12/c1-3-5-7-6-4-2/h1H,4-7H2,2H3","InChI=1S/C7H14/c1-3-5-7-6-4-2/h3,5H,4,6-7H2,1-2H3/b5-3+","Na | Liquid NH3%InChI=1S/C7H12/c1-3-5-7-6-4-2/h1H,4-7H2,2H3%InChI=1S/C7H14/c1-3-5-7-6-4-2/h3,5H,4,6-7H2,1-2H3/b5-3+"
Na | Liquid NH3,"InChI=1S/C8H14/c1-3-5-7-8-6-4-2/h1H,4-8H2,2H3","InChI=1S/C8H16/c1-3-5-7-8-6-4-2/h3,5H,4,6-8H2,1-2H3/b5-3+","Na | Liquid NH3%InChI=1S/C8H14/c1-3-5-7-8-6-4-2/h1H,4-8H2,2H3%InChI=1S/C8H16/c1-3-5-7-8-6-4-2/h3,5H,4,6-8H2,1-2H3/b5-3+"
Na | Liquid NH3,"InChI=1S/C9H16/c1-3-5-7-9-8-6-4-2/h1H,4-9H2,2H3","InChI=1S/C9H18/c1-3-5-7-9-8-6-4-2/h3,5H,4,6-9H2,1-2H3/b5-3+","Na | Liquid NH3%InChI=1S/C9H16/c1-3-5-7-9-8-6-4-2/h1H,4-9H2,2H3%InChI=1S/C9H18/c1-3-5-7-9-8-6-4-2/h3,5H,4,6-9H2,1-2H3/b5-3+"
Na | Liquid NH3,"InChI=1S/C10H18/c1-3-5-7-9-10-8-6-4-2/h1H,4-10H2,2H3","InChI=1S/C10H20/c1-3-5-7-9-10-8-6-4-2/h3,5H,4,6-10H2,1-2H3/b5-3+","Na | Liquid NH3%InChI=1S/C10H18/c1-3-5-7-9-10-8-6-4-2/h1H,4-10H2,2H3%InChI=1S/C10H20/c1-3-5-7-9-10-8-6-4-2/h3,5H,4,6-10H2,1-2H3/b5-3+"
py | TsCl,"InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3","InChI=1S/C9H12O3S/c1-3-12-13(10,11)9-6-4-8(2)5-7-9/h4-7H,3H2,1-2H3","py | TsCl%InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3%InChI=1S/C9H12O3S/c1-3-12-13(10,11)9-6-4-8(2)5-7-9/h4-7H,3H2,1-2H3"
py | TsCl,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3","InChI=1S/C10H14O3S/c1-3-8-13-14(11,12)10-6-4-9(2)5-7-10/h4-7H,3,8H2,1-2H3","py | TsCl%InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3%InChI=1S/C10H14O3S/c1-3-8-13-14(11,12)10-6-4-9(2)5-7-10/h4-7H,3,8H2,1-2H3"
py | TsCl,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3","InChI=1S/C11H16O3S/c1-3-4-9-14-15(12,13)11-7-5-10(2)6-8-11/h5-8H,3-4,9H2,1-2H3","py | TsCl%InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3%InChI=1S/C11H16O3S/c1-3-4-9-14-15(12,13)11-7-5-10(2)6-8-11/h5-8H,3-4,9H2,1-2H3"
py | TsCl,"InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3","InChI=1S/C12H18O3S/c1-3-4-5-10-15-16(13,14)12-8-6-11(2)7-9-12/h6-9H,3-5,10H2,1-2H3","py | TsCl%InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3%InChI=1S/C12H18O3S/c1-3-4-5-10-15-16(13,14)12-8-6-11(2)7-9-12/h6-9H,3-5,10H2,1-2H3"
py | TsCl,"InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3","InChI=1S/C13H20O3S/c1-3-4-5-6-11-16-17(14,15)13-9-7-12(2)8-10-13/h7-10H,3-6,11H2,1-2H3","py | TsCl%InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3%InChI=1S/C13H20O3S/c1-3-4-5-6-11-16-17(14,15)13-9-7-12(2)8-10-13/h7-10H,3-6,11H2,1-2H3"
py | TsCl,"InChI=1S/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3","InChI=1S/C14H22O3S/c1-3-4-5-6-7-12-17-18(15,16)14-10-8-13(2)9-11-14/h8-11H,3-7,12H2,1-2H3","py | TsCl%InChI=1S/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3%InChI=1S/C14H22O3S/c1-3-4-5-6-7-12-17-18(15,16)14-10-8-13(2)9-11-14/h8-11H,3-7,12H2,1-2H3"
py | TsCl,"InChI=1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3","InChI=1S/C15H24O3S/c1-3-4-5-6-7-8-13-18-19(16,17)15-11-9-14(2)10-12-15/h9-12H,3-8,13H2,1-2H3","py | TsCl%InChI=1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3%InChI=1S/C15H24O3S/c1-3-4-5-6-7-8-13-18-19(16,17)15-11-9-14(2)10-12-15/h9-12H,3-8,13H2,1-2H3"
py | TsCl,"InChI=1S/C9H20O/c1-2-3-4-5-6-7-8-9-10/h10H,2-9H2,1H3","InChI=1S/C16H26O3S/c1-3-4-5-6-7-8-9-14-19-20(17,18)16-12-10-15(2)11-13-16/h10-13H,3-9,14H2,1-2H3","py | TsCl%InChI=1S/C9H20O/c1-2-3-4-5-6-7-8-9-10/h10H,2-9H2,1H3%InChI=1S/C16H26O3S/c1-3-4-5-6-7-8-9-14-19-20(17,18)16-12-10-15(2)11-13-16/h10-13H,3-9,14H2,1-2H3"
py | TsCl,"InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3","InChI=1S/C17H28O3S/c1-3-4-5-6-7-8-9-10-15-20-21(18,19)17-13-11-16(2)12-14-17/h11-14H,3-10,15H2,1-2H3","py | TsCl%InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3%InChI=1S/C17H28O3S/c1-3-4-5-6-7-8-9-10-15-20-21(18,19)17-13-11-16(2)12-14-17/h11-14H,3-10,15H2,1-2H3"
NaOCH3,"InChI=1S/C9H12O3S/c1-3-12-13(10,11)9-6-4-8(2)5-7-9/h4-7H,3H2,1-2H3","InChI=1S/C3H8O/c1-3-4-2/h3H2,1-2H3","NaOCH3%InChI=1S/C9H12O3S/c1-3-12-13(10,11)9-6-4-8(2)5-7-9/h4-7H,3H2,1-2H3%InChI=1S/C3H8O/c1-3-4-2/h3H2,1-2H3"
NaOCH3,"InChI=1S/C10H14O3S/c1-3-8-13-14(11,12)10-6-4-9(2)5-7-10/h4-7H,3,8H2,1-2H3","InChI=1S/C4H10O/c1-3-4-5-2/h3-4H2,1-2H3","NaOCH3%InChI=1S/C10H14O3S/c1-3-8-13-14(11,12)10-6-4-9(2)5-7-10/h4-7H,3,8H2,1-2H3%InChI=1S/C4H10O/c1-3-4-5-2/h3-4H2,1-2H3"
NaOCH3,"InChI=1S/C11H16O3S/c1-3-4-9-14-15(12,13)11-7-5-10(2)6-8-11/h5-8H,3-4,9H2,1-2H3","InChI=1S/C5H12O/c1-3-4-5-6-2/h3-5H2,1-2H3","NaOCH3%InChI=1S/C11H16O3S/c1-3-4-9-14-15(12,13)11-7-5-10(2)6-8-11/h5-8H,3-4,9H2,1-2H3%InChI=1S/C5H12O/c1-3-4-5-6-2/h3-5H2,1-2H3"
NaOCH3,"InChI=1S/C12H18O3S/c1-3-4-5-10-15-16(13,14)12-8-6-11(2)7-9-12/h6-9H,3-5,10H2,1-2H3","InChI=1S/C6H14O/c1-3-4-5-6-7-2/h3-6H2,1-2H3","NaOCH3%InChI=1S/C12H18O3S/c1-3-4-5-10-15-16(13,14)12-8-6-11(2)7-9-12/h6-9H,3-5,10H2,1-2H3%InChI=1S/C6H14O/c1-3-4-5-6-7-2/h3-6H2,1-2H3"
NaOCH3,"InChI=1S/C13H20O3S/c1-3-4-5-6-11-16-17(14,15)13-9-7-12(2)8-10-13/h7-10H,3-6,11H2,1-2H3","InChI=1S/C7H16O/c1-3-4-5-6-7-8-2/h3-7H2,1-2H3","NaOCH3%InChI=1S/C13H20O3S/c1-3-4-5-6-11-16-17(14,15)13-9-7-12(2)8-10-13/h7-10H,3-6,11H2,1-2H3%InChI=1S/C7H16O/c1-3-4-5-6-7-8-2/h3-7H2,1-2H3"
NaOCH3,"InChI=1S/C14H22O3S/c1-3-4-5-6-7-12-17-18(15,16)14-10-8-13(2)9-11-14/h8-11H,3-7,12H2,1-2H3","InChI=1S/C8H18O/c1-3-4-5-6-7-8-9-2/h3-8H2,1-2H3","NaOCH3%InChI=1S/C14H22O3S/c1-3-4-5-6-7-12-17-18(15,16)14-10-8-13(2)9-11-14/h8-11H,3-7,12H2,1-2H3%InChI=1S/C8H18O/c1-3-4-5-6-7-8-9-2/h3-8H2,1-2H3"
NaOCH3,"InChI=1S/C15H24O3S/c1-3-4-5-6-7-8-13-18-19(16,17)15-11-9-14(2)10-12-15/h9-12H,3-8,13H2,1-2H3","InChI=1S/C9H20O/c1-3-4-5-6-7-8-9-10-2/h3-9H2,1-2H3","NaOCH3%InChI=1S/C15H24O3S/c1-3-4-5-6-7-8-13-18-19(16,17)15-11-9-14(2)10-12-15/h9-12H,3-8,13H2,1-2H3%InChI=1S/C9H20O/c1-3-4-5-6-7-8-9-10-2/h3-9H2,1-2H3"
NaOCH3,"InChI=1S/C16H26O3S/c1-3-4-5-6-7-8-9-14-19-20(17,18)16-12-10-15(2)11-13-16/h10-13H,3-9,14H2,1-2H3","InChI=1S/C10H22O/c1-3-4-5-6-7-8-9-10-11-2/h3-10H2,1-2H3","NaOCH3%InChI=1S/C16H26O3S/c1-3-4-5-6-7-8-9-14-19-20(17,18)16-12-10-15(2)11-13-16/h10-13H,3-9,14H2,1-2H3%InChI=1S/C10H22O/c1-3-4-5-6-7-8-9-10-11-2/h3-10H2,1-2H3"
NaOCH3,"InChI=1S/C17H28O3S/c1-3-4-5-6-7-8-9-10-15-20-21(18,19)17-13-11-16(2)12-14-17/h11-14H,3-10,15H2,1-2H3","InChI=1S/C11H24O/c1-3-4-5-6-7-8-9-10-11-12-2/h3-11H2,1-2H3","NaOCH3%InChI=1S/C17H28O3S/c1-3-4-5-6-7-8-9-10-15-20-21(18,19)17-13-11-16(2)12-14-17/h11-14H,3-10,15H2,1-2H3%InChI=1S/C11H24O/c1-3-4-5-6-7-8-9-10-11-12-2/h3-11H2,1-2H3"
acetic acid,"InChI=1S/C9H12O3S/c1-3-12-13(10,11)9-6-4-8(2)5-7-9/h4-7H,3H2,1-2H3","InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3","acetic acid%InChI=1S/C9H12O3S/c1-3-12-13(10,11)9-6-4-8(2)5-7-9/h4-7H,3H2,1-2H3%InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3"
acetic acid,"InChI=1S/C10H14O3S/c1-3-8-13-14(11,12)10-6-4-9(2)5-7-10/h4-7H,3,8H2,1-2H3","InChI=1S/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3","acetic acid%InChI=1S/C10H14O3S/c1-3-8-13-14(11,12)10-6-4-9(2)5-7-10/h4-7H,3,8H2,1-2H3%InChI=1S/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3"
acetic acid,"InChI=1S/C11H16O3S/c1-3-4-9-14-15(12,13)11-7-5-10(2)6-8-11/h5-8H,3-4,9H2,1-2H3","InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3","acetic acid%InChI=1S/C11H16O3S/c1-3-4-9-14-15(12,13)11-7-5-10(2)6-8-11/h5-8H,3-4,9H2,1-2H3%InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3"
acetic acid,"InChI=1S/C12H18O3S/c1-3-4-5-10-15-16(13,14)12-8-6-11(2)7-9-12/h6-9H,3-5,10H2,1-2H3","InChI=1S/C7H14O2/c1-3-4-5-6-9-7(2)8/h3-6H2,1-2H3","acetic acid%InChI=1S/C12H18O3S/c1-3-4-5-10-15-16(13,14)12-8-6-11(2)7-9-12/h6-9H,3-5,10H2,1-2H3%InChI=1S/C7H14O2/c1-3-4-5-6-9-7(2)8/h3-6H2,1-2H3"
acetic acid,"InChI=1S/C13H20O3S/c1-3-4-5-6-11-16-17(14,15)13-9-7-12(2)8-10-13/h7-10H,3-6,11H2,1-2H3","InChI=1S/C8H16O2/c1-3-4-5-6-7-10-8(2)9/h3-7H2,1-2H3","acetic acid%InChI=1S/C13H20O3S/c1-3-4-5-6-11-16-17(14,15)13-9-7-12(2)8-10-13/h7-10H,3-6,11H2,1-2H3%InChI=1S/C8H16O2/c1-3-4-5-6-7-10-8(2)9/h3-7H2,1-2H3"
acetic acid,"InChI=1S/C14H22O3S/c1-3-4-5-6-7-12-17-18(15,16)14-10-8-13(2)9-11-14/h8-11H,3-7,12H2,1-2H3","InChI=1S/C9H18O2/c1-3-4-5-6-7-8-11-9(2)10/h3-8H2,1-2H3","acetic acid%InChI=1S/C14H22O3S/c1-3-4-5-6-7-12-17-18(15,16)14-10-8-13(2)9-11-14/h8-11H,3-7,12H2,1-2H3%InChI=1S/C9H18O2/c1-3-4-5-6-7-8-11-9(2)10/h3-8H2,1-2H3"
acetic acid,"InChI=1S/C15H24O3S/c1-3-4-5-6-7-8-13-18-19(16,17)15-11-9-14(2)10-12-15/h9-12H,3-8,13H2,1-2H3","InChI=1S/C10H20O2/c1-3-4-5-6-7-8-9-12-10(2)11/h3-9H2,1-2H3","acetic acid%InChI=1S/C15H24O3S/c1-3-4-5-6-7-8-13-18-19(16,17)15-11-9-14(2)10-12-15/h9-12H,3-8,13H2,1-2H3%InChI=1S/C10H20O2/c1-3-4-5-6-7-8-9-12-10(2)11/h3-9H2,1-2H3"
acetic acid,"InChI=1S/C16H26O3S/c1-3-4-5-6-7-8-9-14-19-20(17,18)16-12-10-15(2)11-13-16/h10-13H,3-9,14H2,1-2H3","InChI=1S/C11H22O2/c1-3-4-5-6-7-8-9-10-13-11(2)12/h3-10H2,1-2H3","acetic acid%InChI=1S/C16H26O3S/c1-3-4-5-6-7-8-9-14-19-20(17,18)16-12-10-15(2)11-13-16/h10-13H,3-9,14H2,1-2H3%InChI=1S/C11H22O2/c1-3-4-5-6-7-8-9-10-13-11(2)12/h3-10H2,1-2H3"
acetic acid,"InChI=1S/C17H28O3S/c1-3-4-5-6-7-8-9-10-15-20-21(18,19)17-13-11-16(2)12-14-17/h11-14H,3-10,15H2,1-2H3","InChI=1S/C12H24O2/c1-3-4-5-6-7-8-9-10-11-14-12(2)13/h3-11H2,1-2H3","acetic acid%InChI=1S/C17H28O3S/c1-3-4-5-6-7-8-9-10-15-20-21(18,19)17-13-11-16(2)12-14-17/h11-14H,3-10,15H2,1-2H3%InChI=1S/C12H24O2/c1-3-4-5-6-7-8-9-10-11-14-12(2)13/h3-11H2,1-2H3"
"NaN3 | LiAlH4, H3O+","InChI=1S/C2H5Cl/c1-2-3/h2H2,1H3","InChI=1S/C2H7N/c1-2-3/h2-3H2,1H3","NaN3 | LiAlH4, H3O+%InChI=1S/C2H5Cl/c1-2-3/h2H2,1H3%InChI=1S/C2H7N/c1-2-3/h2-3H2,1H3"
"NaN3 | LiAlH4, H3O+","InChI=1S/C3H7Cl/c1-2-3-4/h2-3H2,1H3","InChI=1S/C3H9N/c1-2-3-4/h2-4H2,1H3","NaN3 | LiAlH4, H3O+%InChI=1S/C3H7Cl/c1-2-3-4/h2-3H2,1H3%InChI=1S/C3H9N/c1-2-3-4/h2-4H2,1H3"
"NaN3 | LiAlH4, H3O+","InChI=1S/C4H9Cl/c1-2-3-4-5/h2-4H2,1H3","InChI=1/C4H11N/c1-2-3-4-5/h2-5H2,1H3","NaN3 | LiAlH4, H3O+%InChI=1S/C4H9Cl/c1-2-3-4-5/h2-4H2,1H3%InChI=1/C4H11N/c1-2-3-4-5/h2-5H2,1H3"
"NaN3 | LiAlH4, H3O+","InChI=1S/C5H11Cl/c1-2-3-4-5-6/h2-5H2,1H3","InChI=1S/C5H13N/c1-2-3-4-5-6/h2-6H2,1H3","NaN3 | LiAlH4, H3O+%InChI=1S/C5H11Cl/c1-2-3-4-5-6/h2-5H2,1H3%InChI=1S/C5H13N/c1-2-3-4-5-6/h2-6H2,1H3"
"NaN3 | LiAlH4, H3O+","InChI=1S/C6H13Cl/c1-2-3-4-5-6-7/h2-6H2,1H3","InChI=1S/C6H15N/c1-2-3-4-5-6-7/h2-7H2,1H3","NaN3 | LiAlH4, H3O+%InChI=1S/C6H13Cl/c1-2-3-4-5-6-7/h2-6H2,1H3%InChI=1S/C6H15N/c1-2-3-4-5-6-7/h2-7H2,1H3"
"NaN3 | LiAlH4, H3O+","InChI=1S/C7H15Cl/c1-2-3-4-5-6-7-8/h2-7H2,1H3","InChI=1S/C7H17N/c1-2-3-4-5-6-7-8/h2-8H2,1H3","NaN3 | LiAlH4, H3O+%InChI=1S/C7H15Cl/c1-2-3-4-5-6-7-8/h2-7H2,1H3%InChI=1S/C7H17N/c1-2-3-4-5-6-7-8/h2-8H2,1H3"
"NaN3 | LiAlH4, H3O+","InChI=1S/C8H17Cl/c1-2-3-4-5-6-7-8-9/h2-8H2,1H3","InChI=1S/C8H19N/c1-2-3-4-5-6-7-8-9/h2-9H2,1H3","NaN3 | LiAlH4, H3O+%InChI=1S/C8H17Cl/c1-2-3-4-5-6-7-8-9/h2-8H2,1H3%InChI=1S/C8H19N/c1-2-3-4-5-6-7-8-9/h2-9H2,1H3"
"NaN3 | LiAlH4, H3O+","InChI=1S/C9H19Cl/c1-2-3-4-5-6-7-8-9-10/h2-9H2,1H3","InChI=1S/C9H21N/c1-2-3-4-5-6-7-8-9-10/h2-10H2,1H3","NaN3 | LiAlH4, H3O+%InChI=1S/C9H19Cl/c1-2-3-4-5-6-7-8-9-10/h2-9H2,1H3%InChI=1S/C9H21N/c1-2-3-4-5-6-7-8-9-10/h2-10H2,1H3"
"NaN3 | LiAlH4, H3O+","InChI=1S/C10H21Cl/c1-2-3-4-5-6-7-8-9-10-11/h2-10H2,1H3","InChI=1S/C10H23N/c1-2-3-4-5-6-7-8-9-10-11/h2-11H2,1H3","NaN3 | LiAlH4, H3O+%InChI=1S/C10H21Cl/c1-2-3-4-5-6-7-8-9-10-11/h2-10H2,1H3%InChI=1S/C10H23N/c1-2-3-4-5-6-7-8-9-10-11/h2-11H2,1H3"
acetic acid,"InChI=1S/C2H5Cl/c1-2-3/h2H2,1H3","InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3","acetic acid%InChI=1S/C2H5Cl/c1-2-3/h2H2,1H3%InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3"
acetic acid,"InChI=1S/C3H7Cl/c1-2-3-4/h2-3H2,1H3","InChI=1S/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3","acetic acid%InChI=1S/C3H7Cl/c1-2-3-4/h2-3H2,1H3%InChI=1S/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3"
acetic acid,"InChI=1S/C4H9Cl/c1-2-3-4-5/h2-4H2,1H3","InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3","acetic acid%InChI=1S/C4H9Cl/c1-2-3-4-5/h2-4H2,1H3%InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3"
acetic acid,"InChI=1S/C5H11Cl/c1-2-3-4-5-6/h2-5H2,1H3","InChI=1S/C7H14O2/c1-3-4-5-6-9-7(2)8/h3-6H2,1-2H3","acetic acid%InChI=1S/C5H11Cl/c1-2-3-4-5-6/h2-5H2,1H3%InChI=1S/C7H14O2/c1-3-4-5-6-9-7(2)8/h3-6H2,1-2H3"
acetic acid,"InChI=1S/C6H13Cl/c1-2-3-4-5-6-7/h2-6H2,1H3","InChI=1S/C8H16O2/c1-3-4-5-6-7-10-8(2)9/h3-7H2,1-2H3","acetic acid%InChI=1S/C6H13Cl/c1-2-3-4-5-6-7/h2-6H2,1H3%InChI=1S/C8H16O2/c1-3-4-5-6-7-10-8(2)9/h3-7H2,1-2H3"
acetic acid,"InChI=1S/C7H15Cl/c1-2-3-4-5-6-7-8/h2-7H2,1H3","InChI=1S/C9H18O2/c1-3-4-5-6-7-8-11-9(2)10/h3-8H2,1-2H3","acetic acid%InChI=1S/C7H15Cl/c1-2-3-4-5-6-7-8/h2-7H2,1H3%InChI=1S/C9H18O2/c1-3-4-5-6-7-8-11-9(2)10/h3-8H2,1-2H3"
acetic acid,"InChI=1S/C8H17Cl/c1-2-3-4-5-6-7-8-9/h2-8H2,1H3","InChI=1S/C10H20O2/c1-3-4-5-6-7-8-9-12-10(2)11/h3-9H2,1-2H3","acetic acid%InChI=1S/C8H17Cl/c1-2-3-4-5-6-7-8-9/h2-8H2,1H3%InChI=1S/C10H20O2/c1-3-4-5-6-7-8-9-12-10(2)11/h3-9H2,1-2H3"
acetic acid,"InChI=1S/C9H19Cl/c1-2-3-4-5-6-7-8-9-10/h2-9H2,1H3","InChI=1S/C11H22O2/c1-3-4-5-6-7-8-9-10-13-11(2)12/h3-10H2,1-2H3","acetic acid%InChI=1S/C9H19Cl/c1-2-3-4-5-6-7-8-9-10/h2-9H2,1H3%InChI=1S/C11H22O2/c1-3-4-5-6-7-8-9-10-13-11(2)12/h3-10H2,1-2H3"
